null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,plainsRoad2;a dusty road that leads through a grassy plain,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,plainsRoad1; a dusty road that leads through a grassy plain,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,outerTown0; outside the walls of town, many homeless people live.,northwestTower;the northwest tower provides an expansive view of the surroundign landscape and of the sea,northGate;the north gate of town through which you see vast plains and hilly savannah,northeastTower; the north east tower works as barracks for the guards and various barrels and personal chests lay strew about,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,forestRoad2; the path becomes darker as the massive trees blot out the sun as you near the forest,forestRoad1;a path leading into the dark depths of the forest,westGate;the west gate of town through which you see a dark forest,towCrossRoads;a sign says 'north to the plains, west to the dam, east to the ruins,eastGate;the east gate of town throught which you see a river and past that a rocky slope,townBridge; the water lazily flows under the bridge ,rockRoad1; a desolate road that leads up a rocky slope with no wildlife or plants to be seen,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,backAlley1;crates and barrels line the back alley and a homeless man lies under a sheepskin seemingly dead;1,townSquare;the bustlign center of town surrounded by vendors and guards,oldmanHouse;the old man sits at his desk asleep. On his desk you see papers and treatises about the ruins;2,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,boatYard;skeletons of massive ships lie in the seemingly abandonded boatyard;0,spawn;a small sandy beach that lies in the shadow of a boatyard and town,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,,,,,,,,,,,,,,,,,,,,,,,,
rope;torches;woodensword,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
